,index,MatchId,num_map,Map,Section,Timestamp,Team,RoundName,Point,Player,Hero,HeroDamageDealt,BarrierDamageDealt,DamageBlocked,DamageTaken,Deaths,Eliminations,FinalBlows,EnvironmentalDeaths,EnvironmentalKills,HealingDealt,ObjectiveKills,SoloKills,UltimatesEarned,UltimatesUsed,UltimateCharge,Cooldown1,Cooldown2,CooldownSecondaryFire,CooldownCrouching,IsAlive,MaxHealth,Health,DefensiveAssists,OffensiveAssists,IsBurning,IsKnockedDown,IsAsleep,IsFrozen,IsUnkillable,IsInvincible,IsRooted,IsStunned,IsHacked,TimePlayed,AllDamageDealt,HealingReceived,Cooldown1%,Cooldown2%,CooldownSecondaryFire%,CooldownCrouching%,Health%,NumAlive,Point/s,HeroDamageDealt/s,BarrierDamageDealt/s,DamageBlocked/s,DamageTaken/s,Deaths/s,Eliminations/s,FinalBlows/s,EnvironmentalDeaths/s,EnvironmentalKills/s,HealingDealt/s,ObjectiveKills/s,SoloKills/s,UltimatesEarned/s,UltimatesUsed/s,UltimateCharge/s,Cooldown1/s,Cooldown2/s,CooldownSecondaryFire/s,CooldownCrouching/s,IsAlive/s,MaxHealth/s,Health/s,DefensiveAssists/s,OffensiveAssists/s,IsBurning/s,IsKnockedDown/s,IsAsleep/s,IsFrozen/s,IsUnkillable/s,IsInvincible/s,IsRooted/s,IsStunned/s,IsHacked/s,Version/s,TimePlayed/s,AllDamageDealt/s,HealingReceived/s,Cooldown1%/s,Cooldown2%/s,CooldownSecondaryFire%/s,CooldownCrouching%/s,Health%/s,NumAlive/s,RCP,FBValue,DeathRisk,TF_order,TF_winner,TF_duration,TF_RCP_sum,TF_RCP_weighted_sum,DominanceIndex,Position,DeathByHero,DeathByAbility,DeathByPlayer,Resurrected,DuplicatedHero,DuplicateStatus,FacingDirection,Team1Player1InViewAngle,Team1Player2InViewAngle,Team1Player3InViewAngle,Team1Player4InViewAngle,Team1Player5InViewAngle,Team2Player1InViewAngle,Team2Player2InViewAngle,Team2Player3InViewAngle,Team2Player4InViewAngle,Team2Player5InViewAngle,IsEchoUlt,Version
231,231,220507_072322,0,Colosseo,0,23.19,GZC,Defense,0.0,Develop,Soldier: 76,364.22,0.0,0.0,141.69,0,1,1,0,0,7.35,0,0,0,0,18,0.0,14.63,0.0,0.0,1,200.0,153.82,0,0,0,0,0,0,0,0,0,0,0,23.19,364.22,92.12,0.0,0.9818791946308725,0.0,0.0,0.7691,5,0.0,144.22000000000003,0.0,0.0,60.0,0.0,1.0,1.0,0.0,0.0,7.35,0.0,0.0,0.0,0.0,5.0,0.0,14.63,0.0,0.0,0.0,0.0,-9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000016,144.22000000000003,10.430000000000007,0.0,0.9818791946308725,0.0,0.0,-0.04625000000000001,0.0,1.8,1.8,0.0,1.0,GZC,24.190000000000005,17.75,25.52161565188701,0.10965314715110476,"(-12.60, 1.93, -19.20)",,,,,,,"(-0.99, -0.02, 0.13)",0,1,0,1,0,0,1,0,0,0,0.0,2.1
265,265,220507_072322,0,Colosseo,0,26.21,PHI,Offense,0.0,AimGod,Ana,177.01,0.0,0.0,170.0,0,1,1,0,0,449.78,0,0,0,0,30,0.0,8.25,0.0,0.0,1,200.0,160.24,0,0,0,0,0,0,0,0,0,0,0,26.21,177.01,137.14,0.0,0.825,0.0,0.0,0.8012,4,0.0,17.00999999999999,0.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0099999999999998,0.0,0.0,0.0,0.0,19.140000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000016,17.00999999999999,67.32999999999998,0.0,-0.10099999999999998,0.0,0.0,0.09570000000000001,0.0,0.0,1.8,0.0,1.0,GZC,24.190000000000005,17.75,25.52161565188701,0.10965314715110476,"(-18.16, 1.80, -20.99)",,,,,,,"(0.89, -0.17, 0.42)",0,1,0,0,1,0,1,0,1,1,0.0,2.1
280,280,220507_072322,0,Colosseo,0,28.23,GZC,Defense,0.0,ChoiSehwan,Genji,356.24,50.0,0.0,29.0,0,1,1,0,0,0.0,0,0,0,0,22,0.0,0.0,0.0,0.0,1,200.0,200.0,0,0,0,0,0,0,0,0,0,0,0,28.23,406.24,29.0,0.0,0.0,0.0,0.0,1.0,4,0.0,106.84,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000016,156.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,0.0,1.0,GZC,24.190000000000005,17.75,25.52161565188701,0.10965314715110476,"(-7.60, 2.00, -7.57)",,,,,,,"(-0.66, -0.00, -0.75)",1,0,1,0,1,0,0,0,0,0,0.0,2.1
584,584,220507_072322,0,Colosseo,0,58.47,GZC,Defense,0.0,Unique,Lucio,329.3,220.0,0.0,70.72,0,2,1,0,0,369.53,1,0,0,0,34,0.0,10.82,3.7,0.0,1,200.0,200.0,1,2,0,0,0,0,0,0,0,0,0,58.47,549.3,70.72,0.0,0.9039264828738512,0.9319899244332494,0.0,1.0,5,0.0,40.30000000000001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.67999999999995,1.0,0.0,0.0,0.0,2.0,0.0,-1.0,3.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009999999999998,40.299999999999955,0.0,0.0,-0.0835421888053467,0.9319899244332494,0.0,0.0,0.0,1.8,1.8,0.0,2.0,GZC,38.300000000000004,48.249999999999986,68.04965343951027,0.10965314715110476,"(-9.53, 2.47, 9.44)",,,,,,,"(0.35, -0.39, 0.85)",1,0,1,1,1,1,0,1,1,1,0.0,2.1
597,597,220507_072322,0,Colosseo,0,59.48,PHI,Offense,0.0,FiXa,Lucio,203.8,0.0,0.0,137.16,0,1,1,0,0,224.23,1,0,0,0,24,0.0,5.23,2.31,0.0,1,200.0,37.43,1,1,0,0,0,0,0,0,0,0,0,59.48,203.8,95.58,0.0,0.4369256474519633,0.5818639798488665,0.0,0.18715,4,0.0,29.30000000000001,0.0,0.0,45.11999999999999,0.0,1.0,1.0,0.0,0.0,3.549999999999983,1.0,0.0,0.0,0.0,1.0,0.0,-1.0099999999999998,-1.0,0.0,0.0,0.0,-162.57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009999999999998,29.30000000000001,3.539999999999992,0.0,-0.0843776106934001,-0.2518891687657431,0.0,-0.81285,0.0,0.0,1.8,0.0,2.0,GZC,38.300000000000004,48.249999999999986,68.04965343951027,0.10965314715110476,"(-4.18, 1.13, 5.71)",,,,,,,"(0.98, 0.02, -0.17)",1,0,1,1,1,1,0,0,1,1,0.0,2.1
731,731,220507_072322,0,Colosseo,0,73.59,GZC,Defense,0.0,Develop,Soldier: 76,889.86,359.78,0.0,525.71,1,3,2,0,0,109.18,0,0,0,0,57,0.0,12.54,0.0,0.0,1,200.0,78.42,0,0,0,0,0,0,0,0,0,0,0,73.59,1249.6399999999999,193.94,0.0,0.8416107382550335,0.0,0.0,0.3921,5,0.0,68.23000000000002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,30.55000000000001,0.0,0.0,0.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,37.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000051,68.23000000000002,30.55000000000001,0.0,-0.06711409395973156,0.0,0.0,0.1867,0.0,3.2,1.4000000000000001,0.0,2.0,GZC,38.300000000000004,48.249999999999986,68.04965343951027,0.10965314715110476,"(-1.51, 0.53, 8.35)",,,,,,,"(0.94, 0.17, 0.30)",0,1,0,0,0,0,0,1,0,0,0.0,2.1
733,733,220507_072322,0,Colosseo,0,73.59,GZC,Defense,0.0,Rio,Winston,768.98,107.56,324.92,962.95,0,3,1,0,0,0.0,1,0,0,0,63,0.0,0.0,0.0,0.0,1,550.0,422.6,0,0,0,0,0,0,0,0,0,0,0,73.59,876.54,821.41,0.0,0.0,0.0,0.0,0.7683636363636364,5,0.0,15.870000000000005,0.0,0.0,31.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.18,0.0,0.0,0.0,0.0,-17.359999999999957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000051,15.86999999999989,0.0,0.0,-0.015012510425354461,0.0,0.0,-0.03156363636363635,0.0,3.2,1.4000000000000001,0.0,2.0,GZC,38.300000000000004,48.249999999999986,68.04965343951027,0.10965314715110476,"(17.26, 2.00, -2.38)",,,,,,,"(-0.88, 0.33, 0.33)",1,0,1,0,1,0,0,0,1,1,0.0,2.1
784,784,220507_072322,0,Colosseo,0,78.63,GZC,Defense,0.0,Unique,Lucio,625.84,220.0,0.0,164.72,0,4,2,0,0,952.17,1,0,0,0,68,0.0,8.14,3.97,0.0,1,200.0,200.0,2,3,0,0,0,0,0,0,0,0,0,78.63,845.84,164.72,0.0,0.6800334168755221,1.0,0.0,1.0,5,0.0,11.540000000000077,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,1.0,0.0,-1.0099999999999998,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009999999999991,11.540000000000077,0.0,0.0,-0.08437761069340022,1.0,0.0,0.0,0.0,4.2,1.0,0.0,2.0,GZC,38.300000000000004,48.249999999999986,68.04965343951027,0.10965314715110476,"(25.70, 4.45, 14.66)",,,,,,,"(0.59, -0.37, 0.71)",0,1,1,0,1,0,1,1,1,0,0.0,2.1
797,797,220507_072322,0,Colosseo,0,79.63,PHI,Offense,0.0,FiXa,Lucio,555.65,0.0,0.0,493.4,0,2,2,0,0,783.94,2,1,0,0,58,0.0,0.37,0.0,0.0,1,200.0,200.0,1,1,0,0,0,0,0,0,0,0,0,79.63,555.65,490.72,0.0,0.030910609857978277,0.0,0.0,1.0,2,0.0,80.84999999999997,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.210000000000036,1.0,1.0,0.0,0.0,3.0,0.0,-1.0099999999999998,0.0,0.0,0.0,0.0,23.889999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.84999999999997,26.210000000000036,0.0,-0.08437761069340015,0.0,0.0,0.11944999999999995,0.0,3.0,1.2000000000000002,0.0,2.0,GZC,38.300000000000004,48.249999999999986,68.04965343951027,0.10965314715110476,"(-8.21, 1.01, 12.03)",,,,,,,"(-0.89, 0.10, 0.44)",0,1,0,0,0,0,0,1,1,0,0.0,2.1
850,850,220507_072322,0,Colosseo,0,85.68,GZC,Defense,0.0,ChoiSehwan,Genji,1075.69,254.0,0.0,513.52,0,5,2,0,0,0.0,1,0,0,0,68,0.0,7.63,0.0,0.0,1,200.0,200.0,0,0,0,0,0,0,0,0,0,0,0,85.68,1329.69,513.52,0.0,0.956140350877193,0.0,0.0,1.0,4,0.0,8.049999999999955,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.63,0.0,0.0,0.0,0.0,71.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.049999999999955,71.65999999999997,0.0,0.956140350877193,0.0,0.0,0.35829999999999995,0.0,1.75,1.75,0.0,2.0,GZC,38.300000000000004,48.249999999999986,68.04965343951027,0.10965314715110476,"(16.04, 2.41, 11.16)",,,,,,,"(-0.91, -0.09, -0.42)",0,0,1,1,1,0,1,0,1,0,0.0,2.1
1129,1129,220507_072322,0,Colosseo,0,112.9,PHI,Offense,0.0,ZEST,Genji,1138.35,87.0,0.0,646.03,2,1,1,0,0,0.0,0,0,0,0,80,0.0,0.0,0.0,0.0,1,200.0,185.02,0,0,0,0,0,0,0,0,0,0,0,112.9,1225.35,224.91,0.0,0.0,0.0,0.0,0.9251,5,0.0,105.04999999999995,0.0,0.0,7.67999999999995,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21.689999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000051,105.04999999999995,23.24000000000001,0.0,0.0,0.0,0.0,0.10844999999999994,0.0,-1.8,1.8,0.0,3.0,GZC,29.230000000000004,18.050000000000004,42.072267197615695,0.10965314715110476,"(-23.09, 10.92, -10.85)",,,,,,,"(0.78, -0.06, -0.62)",1,1,1,0,1,1,0,1,1,1,0.0,2.1
1156,1156,220507_072322,0,Colosseo,0,115.92,PHI,Offense,0.0,Belosrea,Winston,864.74,146.92,2456.9,1367.63,1,3,1,0,0,0.0,1,0,0,0,80,0.04,8.68,0.0,0.0,1,550.0,550.0,0,0,0,0,0,0,0,0,0,0,0,115.92,1011.66,817.63,0.008016032064128256,0.7239366138448707,0.0,0.0,1.0,5,0.0,27.629999999999995,0.0,1.9200000000000728,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000051,27.629999999999995,0.0,-0.20240480961923846,-0.0834028356964136,0.0,0.0,0.0,0.0,-3.2,1.4000000000000001,0.0,3.0,GZC,29.230000000000004,18.050000000000004,42.072267197615695,0.10965314715110476,"(-28.31, 7.10, -17.30)",,,,,,,"(0.55, 0.06, 0.83)",1,1,0,0,1,1,0,1,1,1,0.0,2.1
1162,1162,220507_072322,0,Colosseo,0,116.93,GZC,Defense,0.0,Molly,Ana,404.9,490.0,0.0,476.72,1,2,1,0,0,1696.88,1,1,1,0,100,10.08,9.12,0.0,0.0,1,200.0,200.0,3,1,0,0,0,0,0,0,0,0,0,116.93,894.9,276.72,0.674698795180723,0.9119999999999999,0.0,0.0,1.0,3,0.0,99.15999999999997,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,-1.0099999999999998,9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100000000000051,99.15999999999997,0.0,-0.06760374832663985,0.9119999999999999,0.0,0.0,0.0,0.0,-1.75,1.4500000000000002,0.0,3.0,GZC,29.230000000000004,18.050000000000004,42.072267197615695,0.10965314715110476,"(-2.41, 1.75, -16.19)",,,,,,,"(-0.95, 0.01, 0.31)",0,0,0,1,0,0,1,0,0,0,0.0,2.1
1203,1203,220507_072322,0,Colosseo,0,120.96,GZC,Defense,0.0,Rio,Winston,1460.22,426.05,1074.04,2164.19,0,5,2,0,0,0.0,1,0,1,1,0,0.55,4.08,0.0,0.0,1,1050.0,849.69,0,0,0,0,0,0,0,0,0,0,0,120.96,1886.27,1776.21,0.11022044088176353,0.3402835696413678,0.0,0.0,1.544890909090909,3,0.0,37.86000000000013,0.0,29.0,62.13999999999987,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0099999999999998,0.0,0.0,0.0,0.0,-76.13999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.86000000000013,0.0,-0.2004008016032064,-0.08423686405337782,0.0,0.0,-0.1384363636363637,0.0,0.0,1.75,0.0,3.0,GZC,29.230000000000004,18.050000000000004,42.072267197615695,0.10965314715110476,"(-17.06, 2.16, -17.03)",,,,,,,"(-1.00, 0.03, 0.06)",1,0,0,0,0,0,0,0,1,1,0.0,2.1
1303,1303,220507_072322,0,Colosseo,0,131.04,GZC,Defense,0.0,Rio,Winston,1655.14,426.05,1074.04,2572.47,0,6,3,0,0,0.0,1,0,1,1,3,3.64,0.0,0.0,0.0,1,550.0,350.0,0,0,0,0,0,0,0,0,0,0,0,131.04,2081.19,1776.21,0.7294589178356713,0.0,0.0,0.0,0.6363636363636364,5,0.0,45.16000000000008,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009999999999991,45.16000000000008,0.0,-0.20240480961923857,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.0,3.0,GZC,29.230000000000004,18.050000000000004,42.072267197615695,0.10965314715110476,"(-51.07, 7.05, -15.92)",,,,,,,"(-0.60, 0.31, 0.74)",1,0,0,0,0,0,0,1,0,0,0.0,2.1
1578,1578,220507_072322,0,Colosseo,0,158.26,PHI,Offense,0.0,MN3,Soldier: 76,1455.47,297.92,0.0,925.06,3,2,1,0,0,295.88,0,0,0,0,98,0.0,0.0,0.0,0.0,1,200.0,200.0,1,0,0,0,0,0,0,0,0,0,0,158.26,1753.39,325.06,0.0,0.0,0.0,0.0,1.0,5,0.0,45.850000000000136,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009999999999991,45.850000000000136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,1.8,0.0,4.0,PHI,40.32000000000002,-64.0,-99.14569751041029,0.10965314715110476,"(7.83, 0.39, 10.92)",,,,,,,"(-0.99, 0.04, 0.11)",0,0,1,1,1,1,1,1,1,1,0.0,2.1
1717,1717,220507_072322,0,Colosseo,0,172.37,PHI,Offense,0.0,FiXa,Lucio,1197.65,385.0,0.0,1384.01,1,4,3,0,0,1945.39,2,1,1,1,11,0.0,0.0,0.0,0.0,1,200.0,200.0,5,5,0,0,0,0,0,0,0,0,0,172.37,1582.65,993.24,0.0,0.0,0.0,0.0,1.0,5,0.0,18.5,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.5300000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.77,0.0,0.0,0.0,6.6200000000000045,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009999999999991,48.5,8.980000000000018,0.0,0.0,-0.19395465994962216,0.0,0.03310000000000002,0.0,-1.8,1.8,0.0,4.0,PHI,40.32000000000002,-64.0,-99.14569751041029,0.10965314715110476,"(-29.55, 4.70, 31.90)",,,,,,,"(-0.16, -0.19, -0.97)",1,1,0,0,0,0,0,1,1,1,0.0,2.1
1739,1739,220507_072322,0,Colosseo,0,174.39,PHI,Offense,0.0,ZEST,Genji,1998.79,361.0,0.0,1051.96,3,4,2,0,0,0.0,0,0,1,0,100,0.0,0.0,0.0,0.0,1,200.0,128.32,0,0,0,0,0,0,0,0,0,0,0,174.39,2359.79,310.28,0.0,0.0,0.0,0.0,0.6416,5,0.0,71.74000000000001,0.0,0.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009999999999991,71.73999999999978,8.319999999999993,0.0,0.0,0.0,0.0,-0.35840000000000005,0.0,-3.2,1.4000000000000001,0.0,4.0,PHI,40.32000000000002,-64.0,-99.14569751041029,0.10965314715110476,"(-37.65, 1.87, 1.11)",,,,,,,"(0.98, 0.02, -0.19)",0,1,0,0,0,1,0,1,1,0,0.0,2.1
1769,1769,220507_072322,0,Colosseo,0,177.41,PHI,Offense,0.0,ZEST,Genji,2121.58,361.0,0.0,1051.96,3,5,3,0,0,0.0,1,0,1,0,100,0.0,5.39,0.0,0.0,1,200.0,144.38,0,0,0,0,0,0,0,0,0,0,0,177.41,2482.58,326.35,0.0,0.675438596491228,0.0,0.0,0.7219,5,0.0,14.789999999999964,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009999999999991,14.789999999999964,0.0,0.0,-0.12531328320802004,0.0,0.0,0.0,0.0,-4.2,1.0,0.0,4.0,PHI,40.32000000000002,-64.0,-99.14569751041029,0.10965314715110476,"(-7.30, 3.33, 9.04)",,,,,,,"(0.86, -0.47, -0.18)",0,0,1,0,1,1,1,1,1,1,0.0,2.1
